N, V, Time (ms)
1000000, 2, 64.0646
1000000, 4, 71.6019
1000000, 8, 74.0687
1000000, 16, 73.8568
1000000, 32, 69.2521
1000000, 64, 68.6547
1000000, 128, 65.7991
1000000, 256, 70.718
