N, V, Time (ms)
100000, 2, 7.95216
100000, 4, 7.59154
100000, 8, 9.68217
100000, 16, 6.72827
100000, 32, 7.47777
100000, 64, 7.3706
100000, 128, 9.18159
100000, 256, 6.46529
