N, V, Time (ms)
10000, 2, 0.937723
10000, 4, 0.779042
10000, 8, 0.679275
10000, 16, 0.902767
10000, 32, 0.723136
10000, 64, 0.833223
10000, 128, 0.877418
10000, 256, 0.64196
