N, V, Time (ms)
10000000, 2, 617.171
10000000, 4, 647.45
10000000, 8, 664.437
10000000, 16, 637.94
10000000, 32, 619.084
10000000, 64, 605.2
10000000, 128, 608.862
10000000, 256, 633.827
